Id,Name,Text,TypeSpeed,FontAsset,FontStyle,FontSize,FontColor,VoiceIndex,Tag
45,,"뭐, 그것 때문에 낮에 조는 경우가 많긴 하지만,<pause> 대부분 휴식 시간일 때고 일정이 있을 때는 그러지 않으니 다그치기도 마냥 뭐하다.",,,,,,,
46,,그래도 너무 늦게까지 밤새우는 건 몸에 좋지 않으니까 조절해 주었으면 좋겠는데… ,,,,,,,
47,발드르,"매니저,<pause> 무슨 생각을 그렇게 하세요?",,,,,,,
48,매니저,"어?<pause> 아아,<pause> 아무것도 아니야.",,,,,,,
49,발드르,그런가요?<pause> 그보다 어떠세요?,,,,,,,
50,매니저,응?<pause> 어떠냐니?<pause> 뭐가?,,,,,,,
51,발드르,뭐긴 뭐예요.<pause> 당<pause=0.5>연<pause=0.5>히<pause=0.5>!<pause> 제 무릎이죠!,,,,,,,
52,발드르,어… 위치로 보면 허벅진가?,,,,,,,
53,,무릎?<pause> 허벅지?<pause> 무슨 소리지?,,,,,,,
54,,"아니 그보다 발드르는 왜 나를 내려다보고 있지?<pause> 아니 내가 누워 있으니 당연히 내려다보긴 하겠다만 그, 위치가 좀 애매한 느낌이…",,,,,,,
55,,그리고 뒤통수에 닿는 이 말랑한 건 뭐지?<pause> 베개 같진 않은데…….,,,,,,,
56,,내가 대체 뭘 베고 있……,,,,,,,
57,매니저,저기 발드르.,,,,,,,
58,발드르,네~,,,,,,,
59,매니저,지금 내 머리에 닿는 이거 뭐야?,,,,,,,
60,발드르,뭐긴요.<pause> 제 허벅지예요!,,,,,,,
61,,응.<pause> 그렇구나.,,,,,,,
62,,…<pause=0.5>허벅지?!,,,,,,,
63,매니저,으왁!<pause> 켁!,,,,,,,
64,발드르,아이참!<pause> 일어나시면 안 된다니까요!,,,,,,,
65,,기겁하며 일어나려 했는데 발드르가 가로막았다.,,,,,,,
66,,아니 분명 온 힘을 다해 일어난 것 같았는데 너무 쉽게 제압당했다.<pause> 이게 신앙을 모은 신의 힘?,,,,,,,
67,발드르,진정하셨어요?,,,,,,,
68,매니저,…응.<pause> 잠이 확 깼어.,,,,,,,
69,,아이돌 무릎을 베고 누워있다니.<pause> 이건 안된다.<pause> 논란거리도 있지만 내 심장이 버티질 못한다고.,,,,,,,
70,,그래서 어떻게든 몸을 일으키려고 몸을 비틀어보는데 그럴 때마다 발드르가 어깨를 살며시 누른다.,,,,,,,
71,,난 그럴 때마다 저항감 없이 드러누워 버렸고.,,,,,,,
72,,아니 대체 왜 이러는 건데?,,,,,,,
73,매니저,저기 발드르?<pause> 나 뭐 하나 물어봐도 될까?,,,,,,,
74,발드르,"네, 괜찮아요!<pause> 뭐든 물어봐 주세요!",,,,,,,
75,매니저,아까부터 왜 자꾸 내가 일어나는 걸 막는 거야?,,,,,,,
76,발드르,"그야, 매니저가 좀 더 쉬셨으면 해서요?",,,,,,,
77,매니저,응?,,,,,,,
78,발드르,"그야, 매니저. 요즘 따라 밤늦게까지 일하는 날이 너무 잦잖아요?<pause> 아예 잠도 안 자고 밤새는 날도 있고…<pause> 그렇게 제대로 쉬지도 않고 일만 하다 보면 나중에 큰일 난다고요!",,,,,,,
79,발드르,그래서 주무시는 걸 본 김에 이렇게 확실한 휴식을 취하실 수 있게 하려는 거예요!,,,,,,,
80,,"과연,<pause> 나를 걱정해 준 거구나.<pause> 확실히 최근 들어 제대로 쉬는 날이 드물긴 했으니까.",,,,,,,
81,,근데 왜 하필이면 무릎베개지?,,,,,,,
82,매니저,근데 발드르.,,,,,,,
83,발드르,네?,,,,,,,
84,매니저,왜 하필이면 무릎베개를 고집하는 거야?<pause> 내가 쉬길 원하는 거면 그냥 숙직실 침대에 눕혀놔도 되잖아.,,,,,,,
85,발드르,"아, 그거는요.",,,,,,,
86,발드르,로키님한테 그렇게 배웠거든요!,,,,,,,
87,,그렇구나<pause> 로키한테 배웠…,,,,,,,
88,,…<pause=0.5>누구한테 뭘 배워?,,,,,,,
89,발드르,실은 어떻게 하면 매니저님을 푹 쉬시게 할수 있을까 고민하고 있었거든요.,,,,,,,
90,발드르,마침 그때 로키님이 찾아오셔서 무슨 일이냐고 여쭤보시는거 있죠?,,,,,,,
91,발드르,그래서 사정을 설명했더니 그런건 자기가 잘 안다면서 무릎베개를 추천해주셨어요!,,,,,,,
92,발드르,그러니까<pause> 이 무릎베개라는 게 사람의 살결을 통해 따스한 온기를 직접 받아 느껴서 심신을 안정시켜주는 최고의 휴식 방법이래요!,,,,,,,
93,,"응,<pause> 완벽히 이해했어.<pause> 일단 내일 로키 간식은 압수다.",,,,,,,
94,매니저,음.<pause> 네 말대로 나도 푹 쉬고는 싶은데 아직 오늘 안에 할 일들이 많이 남아 있거든.<pause> 잠도 충분히 잔 것 같고.<pause> 슬슬 가봐야 할 것 같아.,,,,,,,
95,발드르,으음…<pause> 그래도 너무 적게 주무셨는데…<pause> 그 10분!<pause> 아니 5분만 더 주무세요!<pause> 시간 되면 깨워드릴게요!,,,,,,,
96,,아니 너무 필사적으로 재우려하는 거 아니야?,,,,,,,
97,발드르,계속 그러시다가 쓰러지면 얼마나 슬플 건데요…,,,,,,,
98,,이렇게나 나를 걱정해 주다니.<pause> 이 정도면 잠깐 져주는 게 맞겠지?,,,,,,,
99,매니저,으음…<pause> 그럼 5분 정도만 더 잘까?,,,,,,,
100,,그래<pause> 5분 더 잔다고 해서 큰일이 나지는 않겠지. ,,,,,,,
101,,아마<pause=0.5>도?,,,,,,,
102,발드르,네!<pause> 시간 맞춰서 깨워드릴게요!,,,,,,,
103,,피식 웃고는 눈을 감는다.,,,,,,,
104,,조금만…<pause> 자면…,,,,,,,
105,,.<pause=0.5>.<pause=0.5>.<pause=1>,,,,,,,
106,,잠이 안 온다.,,,,,,,
107,매니저,그 발드르.,,,,,,,
108,발드르,네?,,,,,,,
109,매니저,잠이 안 오네.<pause> 아까 놀랐던 것 때문에 잠기운이 다 날아갔나 봐.,,,,,,,
110,매니저,아쉽지만 자는 건 조금 미루고 남은 일 먼저 처리하는 게 나을 것 같아. 지금 잠들긴 힘들 것 같아.,,,,,,,
111,,다시 몸을 일으키려는데 발드르가 뭔가 결심한 얼굴로 제지한다.,,,,,,,
112,발드르,잠이 안 오시면 자장가는 어떠세요?,,,,,,,
113,매니저,응?<pause> 자장가?,,,,,,,
114,발드르,"네,<pause> 제가 어릴 때 엄마가 자주 들려주셨거든요.<pause> 워낙 자주 들어서 부르는 것도 자신 있어요.",,,,,,,
115,,"자장가라.<pause> 효과가 있을진 모르겠지만,<pause> 저렇게 자신 있어 하는데 괜히 거절해서 찬물을 끼얹을 순 없겠지.",,,,,,,
116,매니저,그럼 부탁할게?,,,,,,,
117,발드르,네!,,,,,,,
118,,큼큼.,,,,,,,
119,,발드르는 잠깐 목을 풀고는 그 작은 입으로 고운 노랫소리를 엮기 시작했다.,,,,,,,
120,,빛의 신이라는 위치에 걸맞게 밝고 맑은 음색.,,,,,,,
121,,동시에 부드럽고 따스하게 몸을 감싸는 선율.,,,,,,,
122,,익숙하고 그리운 누군가에게 안긴 것처럼 의식은 점차 멀어져갔고…,,,,,,,
123,,결국 다음 날 아침에 눈을 떴다.,,,,,,,
124,매니저,발드르?,,,,,,,
125,발드르,"헤,<pause> 헤헤.",,,,,,,
126,매니저,분명 깨워준다고 하지 않았니?,,,,,,,
127,발드르,"그,<pause=0.5> 너무 깊게 잠드셔서…<pause> 흔들어도 안 깨어나시길래.",,,,,,,
128,,"…그래 뭐,<pause> 발드르는 크게 잘못 없으니까.",,,,,,,
129,,잘못은 자장가 좀 들었다고 숙면을 하신 나한테 있겠지.,,,,,,,
130,,…잘 자고 일어나서 개운한 것도 있으니 혼내기는 그렇지.,,,,,,,
131,매니저,"그래, 알았어.<pause> 오늘 레슨 있었지?<pause> 이만 가봐도 돼.",,,,,,,
132,발드르,네?<pause> 안 혼내시나요?,,,,,,,
133,매니저,자장가가 좋아서 그런가?<pause> 덕분에 개운해졌거든 남은 건 어떻게 잘 처리할 테니 어서 레슨 받으러 가 봐.,,,,,,,
134,발드르,네!,,,,,,,
135,,"칭찬을 받아서인지 혼나지 않아서인지 모르겠지만, 발드르는 기쁜 얼굴로 퇴장했다.",,,,,,,
136,,그럼 나도 남은 일들을 최대한 처리해 볼까?,,,,,,,
137,,혼나는 건 확정이긴 해도 혼날 시간을 줄이긴 해야지.,,,,,,,
138,매니저,<pause=0.5>응? 뭐지?,,,,,,,
139,,"어,<pause> 왜 일들이 전부 끝나 있지?",,,,,,,
140,,내 기억상으론 다 끝내기도 전에 잠들었을 텐데?,,,,,,,
141,매니저,어제 사무실에 나 말곤 아무도 없었는데? 있다고 해도 발드르 정도…,,,,,,,
142,,잠깐 발드르가 있을 레슨실 방향을 돌아봤다.,,,,,,,
143,매니저,설마 발드르가?,,,,,,,
144,,그냥 놔둬도 되는데 나 때문에 괜한 고생만 시킨 건가.,,,,,,,
145,매니저,이따 간식 좀 더 챙겨줘야겠다.,,,,,,,
146,,로키 몫을 주면 되겠지?,,,,,,,
147,,착한 애한테 이상한 걸 가르친 벌이다.,,,,,,,
148,,<pause=1.0>,,,,,,,
